sum(amount),fc(description),count(amount)
-6975.42,KING SOOPERS,397
-3547.65,MCDONALD'S,226
-2881.65,WALGREEN'S STORE,245
-1902.4,WENDY'S,211
-1831.68,AT&T PREPAID,45
-1779.88,SHELL SERVICE STATION,304
-1509.75,YSI HILLTOP,5
-1374.66,EVERYDAY STORE,261
-1345.35,MASABI LLC RTD,348
-1329.44,AMANTE UPTOWN COFFEE,447
-1319.58,AMAZON.COM,18
-1300.67,STARBUCKS STORE,381
-1228.58,NOODLES & COMPANY,113
-1117.81,SEI,51
-1034.91,7-ELEVEN,91
-941.7,DOTS DINER ON THE HILL,95
-809.17,DOORDASH BLACKJACK PIZZA,33
-753.3100000000001,SHELL OIL,84
-676.33,CIRCLE K,59
-674.3100000000001,TARGET,18
-634.34,PAYPAL FACEBOOKPAY,5
-569.4,FAT SHACK,25
-549.37,BREADWORKS,105
-528.06,[''],49
-508.21999999999997,INSTACART,20
-405.0,Doozy Duds,2
-369.62,MUSTARD'S LAST STAND,31
-360.45,PAYPAL MLEARY,1
-315.0,COCA COLA,216
-279.95,NETSPEND,55
-258.65000000000003,BROADWAY WINE & SPIRIT,30
-257.62,LYFT,20
-252.9,AMTRAK,1
-215.68,CREDENCE-AMR,1
-188.56,DDS LIQUOR & FOOD MART,9
-184,ATR AIRSPY,1
-179.95999999999998,TELYRX LLC,2
-174.48000000000002,The Fitter,2
-164.07,GOODWILL,12
-155.1,AMZN Mktp,15
-151.42000000000002,SHELL,15
-131.8,CR TG 2 VG,4
-130.53,BOULDER CONVENIENCE,16
-127.26,PAYPAL DOORDASH,5
-126.71000000000001,GOLDEN SUN,5
-122.02,TASKER ON TASKRABBIT,4
-116.58,DUNKIN DONUTS,4
-116.23,NORTH BOULDER LIQUOR,11
-109.89,DASHPASS,11
-108.05,BURGER KING,4
-98.22,BOULDER GENERAL STORE,15
-97.23,EINSTEIN BROS BAGELS,10
-96.64,WHOLE FOODS,7
-96.47,DOORDASH DOUBLEDASH,3
-88.59,SANTIAGOS MEXICAN REST,18
-85.0,HERSHEYS,2
-79,RD CORP,3
-77.24,NOW MOBILE,1
-76,29TH ST M ATM,2
